StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
RooseveltWay_NE80thSt,POINT (-122.31765 47.692098),02/25/2020 02:14:00 AM,3818250,41.89,41.89
AuroraBridge,POINT (-122.347278 47.643174),02/24/2020 02:18:00 AM,3753392,44.51,41.58
AuroraBridge,POINT (-122.347278 47.643174),02/24/2020 02:19:00 AM,3753393,44.48,41.59
AuroraBridge,POINT (-122.347278 47.643174),02/24/2020 02:20:00 AM,3753394,44.48,41.61
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:06:00 AM,3822795,43.38,42.98
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:07:00 AM,3822796,43.36,42.98
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:08:00 AM,3822797,43.34,42.98
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:09:00 AM,3822798,43.33,42.96
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:10:00 AM,3822799,43.31,42.94
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:11:00 AM,3822800,43.29,42.91
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:12:00 AM,3822801,43.28,42.91
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:13:00 AM,3822802,43.26,42.91
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:14:00 AM,3822803,43.25,42.92
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:15:00 AM,3822804,43.23,42.93
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:16:00 AM,3822805,43.21,42.90
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:17:00 AM,3822806,43.20,42.88
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:18:00 AM,3822807,43.18,42.90
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:19:00 AM,3822808,43.16,42.89
NE45StViaduct,POINT (-122.301929 47.66127),02/24/2020 02:20:00 AM,3822809,43.14,42.86
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:06:00 AM,3729817,41.04,44.20
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:07:00 AM,3729818,41.03,44.11
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:08:00 AM,3729819,41.01,44.12
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:09:00 AM,3729820,41.00,44.30
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:10:00 AM,3729821,40.99,44.38
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:11:00 AM,3729822,40.97,44.43
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:12:00 AM,3729823,40.95,44.45
SpokaneSwingBridge,POINT (-122.351743 47.571389),02/24/2020 02:13:00 AM,3729824,40.95,44.23
