Sample Index,run,Trial,SME,Test number,Tensile MD (kN/m) norm,Tensile CD (kN/m) norm,Tear CD mN norm,Tear MD mN norm,Burst (P: kPa) norm,Permeability norm,Stiffness mN MD norm,Stiffness mN CD norm,Scott Bond norm,STFI (kN/m) norm,Caliper norm
1,1,1a,a,1,0.037703488,0.01375,13.47383721,11.56976744,3.00872093,0.945348837,0.069767442,0.024709302,2.529069767,0.019694767,0.099273256
2,1,1a,a,2,0.025049751,0.010124378,11.20646766,9.900497512,5.186567164,0.321890547,0.037935323,0.035447761,2.201492537,0.015858209,0.08221393
3,1,1a,a,3,0.033769841,0.015873016,11.91798942,12.61904762,5.238095238,0.448015873,0.041005291,0.038359788,2.182539683,0.017883598,0.076058201
4,1,1a,a,4,0.038494475,0.015732044,10.99447514,10.26243094,5.331491713,0.370441989,0.032458564,0.040055249,2.334254144,0.014475138,0.091712707
5,1,1a,a,5,0.034471649,0.012448454,10.94072165,10.59278351,2.100515464,0.446520619,0.019974227,0.034793814,2.306701031,0.013853093,0.077319588
6,1,1b,b,1,0.031216931,0.015873016,12.96296296,12.61904762,2.394179894,0.617857143,0.058862434,0.036375661,2.156084656,0.016402116,0.10978836
7,1,1b,b,2,0.034393064,0.015722543,13.02023121,11.50289017,5.73699422,0.485982659,0.091040462,0.040462428,2.239884393,0.018424855,0.102456647
8,1,1b,b,3,0.032514205,0.016477273,14.28977273,12.05965909,5.667613636,0.504971591,0.072443182,0.038352273,2.329545455,0.018181818,0.103125
9,1,1b,b,4,0.036967213,0.016120219,13.03278689,10.87431694,5.300546448,0.632103825,0.043032787,0.057377049,2.322404372,0.016502732,0.080464481
10,1,1b,b,5,0.037324561,0.016067251,13.94736842,11.6374269,2.587719298,0.683040936,0.05994152,0.042397661,2.339181287,0.017938596,0.118859649
11,1,1c,c,1,0.032372159,0.015170455,11.67613636,12.79829545,2.911931818,0.6421875,0.063920455,0.018465909,2.457386364,0.015568182,0.099431818
12,1,1c,c,2,0.043800578,0.0175,11.87861272,12.26878613,5.592485549,0.609537572,0.067196532,0.025289017,2.601156069,0.017731214,0.089739884
13,1,1c,c,3,0.035043605,0.01877907,11.56976744,11.56976744,2.5,0.592732558,0.084302326,0.035610465,2.470930233,0.018139535,0.100581395
14,1,1c,c,4,0.048931034,0.018586207,15.53448276,14.17241379,6.551724138,0.612586207,0.09137931,0.029310345,2.672413793,0.026672414,0.144310345
15,1,1c,c,5,0.042859116,0.015179558,10.99447514,10.26243094,5.345303867,0.505110497,0.078729282,0.047651934,2.472375691,0.01281768,0.110773481
16,2,2a,a,1,0.026608796,0.012835648,12.5462963,10.42824074,2.708333333,0.378703704,0.047453704,0.034143519,2.210648148,0.011388889,0.077893519
17,2,2a,a,2,0.032452381,0.016107143,11.03571429,10.72619048,2.678571429,0.285,0.054761905,0.082142857,2.5,0.013654762,0.072619048
18,2,2a,a,3,0.026969697,0.015795455,13.35858586,11.37626263,2.916666667,0.226515152,0.041666667,0.069444444,2.310606061,0.017916667,0.094191919
19,2,2a,a,4,0.032113402,0.017693299,12.29381443,10.94072165,3.028350515,0.228737113,0.06121134,0.090206186,2.512886598,0.017770619,0.088530928
20,2,2a,a,5,0.034901961,0.017696078,12.96568627,10.40441176,2.867647059,0.269852941,0.056985294,0.078431373,2.193627451,0.015980392,0.081495098
21,2,2b,b,1,0.030288945,0.016871859,10.99246231,13.29145729,5,0.28241206,0.057160804,0.078517588,2.148241206,0.014874372,0.090075377
22,2,2b,b,2,0.032356021,0.015183246,11.11256545,10.41884817,2.290575916,0.212041885,0.060209424,0.104712042,2.212041885,0.014489529,0.085732984
23,2,2b,b,3,0.038799435,0.017810734,12.7259887,11.24293785,5.395480226,0.25579096,0.079096045,0.067090395,2.528248588,0.022415254,0.110451977
24,2,2b,b,4,0.038815789,0.019488304,13.94736842,13.17251462,2.470760234,0.275730994,0.064327485,0.090643275,2.675438596,0.018406433,0.109502924
25,2,2b,b,5,0.04538674,0.017002762,11.72651934,11.72651934,3.121546961,0.298342541,0.100138122,0.071132597,2.140883978,0.017389503,0.084392265
26,2,2c,c,1,0.034656593,0.020398352,12.37637363,9.848901099,5.315934066,0.583104396,0.111950549,0.049450549,2.348901099,0.020549451,0.09478022
